api_no,stratum,s2_ndvi_relative,s2_recent_ndvi,naip_ndvi_pad,naip_ndvi_bg,naip_delta,naip_score,vari_delta,edge_ratio,texture_score,abs_signal,delta_signal,edge_signal,combined_score
34019214400000,A_disturbed,-0.540758,0.275696,-0.0,0.003,-0.003,0,-0.01,1.108,0,30,0,0,30
34019228450000,A_disturbed,-0.499223,0.37795,0.012,-0.013,0.025,0,-0.005,1.023,0,30,0,0,30
34019228460000,A_disturbed,-0.499218,0.377903,0.01,-0.013,0.023,0,-0.001,0.998,0,30,0,0,30
34019228440000,A_disturbed,-0.497646,0.379149,0.007,-0.012,0.019,0,-0.008,1.069,0,30,0,0,30
34019213070000,A_disturbed,-0.495572,0.354314,0.067,0.062,0.005,0,-0.003,1.387,10,30,0,10,40
34019228470000,A_disturbed,-0.494742,0.381279,0.004,-0.01,0.014,0,-0.015,1.108,0,30,0,0,30
34019218400000,A_disturbed,-0.474702,0.279493,0.106,0.045,0.061,0,0.008,1.595,25,15,0,20,35
34019213850000,A_disturbed,-0.433691,0.445062,0.082,0.204,-0.122,40,-0.023,1.057,0,30,30,0,60
34019208810000,A_disturbed,-0.431266,0.428591,0.322,0.293,0.029,0,0.016,1.132,0,0,0,0,0
34019213060000,A_disturbed,-0.393285,0.458211,0.091,0.054,0.038,0,0.008,1.115,0,30,0,0,30
34019224280000,B_low_recent,,0.178397,0.028,0.058,-0.03,0,0.014,1.635,25,30,0,20,50
34019224450000,B_low_recent,,0.180885,0.03,0.034,-0.003,0,0.013,2.068,40,30,0,20,50
34019222570000,B_low_recent,,0.181351,0.033,0.05,-0.017,0,0.017,2.23,40,30,0,20,50
34019606280000,B_low_recent,,0.184835,0.089,0.144,-0.055,15,0.003,0.935,0,30,15,0,45
34019224460000,B_low_recent,,0.192927,0.033,0.03,0.003,0,0.015,2.479,40,30,0,20,50
34019222560000,B_low_recent,,0.194891,0.034,0.05,-0.016,0,0.018,2.199,40,30,0,20,50
34019222550000,B_low_recent,,0.211283,0.031,0.029,0.002,0,0.014,2.19,40,30,0,20,50
34019221590000,B_low_recent,,0.244634,0.035,0.052,-0.017,0,-0.004,1.739,25,30,0,20,50
34019221580000,B_low_recent,,0.245709,0.03,0.035,-0.005,0,-0.007,1.487,10,30,0,10,40
34019222630000,B_low_recent,,0.247462,0.035,0.052,-0.017,0,-0.007,1.837,25,30,0,20,50
34019224520000,C_random,0.0197814,0.508928,0.034,0.055,-0.021,0,0.003,1.006,0,30,0,0,30
34019226170000,C_random,-0.148142,0.505973,-0.021,-0.02,-0.001,0,-0.01,1.073,0,30,0,0,30
34019205940000,C_random,-0.0700525,0.709622,0.294,0.266,0.028,0,-0.012,1.1,0,5,0,0,5
34019208600000,C_random,-0.119996,0.661385,0.362,0.369,-0.008,0,-0.027,0.811,0,0,0,0,0
34019226460000,C_random,-0.132892,0.515161,0.056,0.053,0.003,0,-0.0,1.518,25,30,0,20,50
34019219270000,C_random,-0.0688561,0.72752,0.357,0.404,-0.047,0,0.003,1.034,0,0,0,0,0
34019204890000,C_random,-0.0576691,0.762609,0.519,0.447,0.072,0,0.01,0.965,0,0,0,0,0
34019605510000,C_random,-0.163103,0.645473,0.341,0.312,0.029,0,-0.001,0.998,0,0,0,0,0
34019225680000,C_random,-0.0564978,0.572456,0.049,0.047,0.002,0,-0.003,1.298,10,30,0,10,40
34019210640000,C_random,-0.0150147,0.790789,0.419,0.418,0.001,0,0.0,1.022,0,0,0,0,0
