api_no,stratum,s2_ndvi_relative,s2_recent_ndvi,naip_ndvi_pad,naip_ndvi_bg,naip_delta,naip_score,vari_delta,edge_ratio,texture_score,abs_signal,delta_signal,edge_signal,combined_score
34063669550000,A_disturbed,-0.619473,0.20382,0.084,0.076,0.008,0,0.013,0.863,0,30,0,0,30
34063669540000,A_disturbed,-0.590867,0.21468,0.143,0.074,0.069,0,0.009,0.948,0,15,0,0,15
34063628690000,A_disturbed,-0.570345,0.140917,0.073,0.089,-0.016,0,-0.019,0.809,0,30,0,0,30
34063600650000,A_disturbed,-0.565258,0.26335,0.011,0.029,-0.018,0,-0.037,0.999,0,30,0,0,30
34063667480000,A_disturbed,-0.534234,0.227166,0.036,0.054,-0.019,0,-0.012,0.896,0,30,0,0,30
34063622560000,A_disturbed,-0.530488,0.25707,0.185,0.212,-0.027,0,-0.003,0.985,0,15,0,0,15
34063669560000,A_disturbed,-0.506026,0.234764,0.095,0.076,0.019,0,0.001,1.247,10,30,0,10,40
34063611700000,A_disturbed,-0.469047,0.296521,0.02,0.033,-0.013,0,-0.044,0.794,10,30,0,0,30
34063669260000,A_disturbed,-0.446478,0.199707,0.039,0.037,0.003,0,0.08,0.564,25,30,0,0,30
34063601920000,A_disturbed,-0.43194,0.371871,0.005,0.101,-0.096,15,0.016,1.125,0,30,15,0,45
34063916190000,B_low_recent,,-0.325322,-0.005,-0.006,0.001,0,0.004,0.933,0,30,0,0,30
34063606760000,B_low_recent,,0.00931577,-0.001,0.006,-0.007,0,0.007,0.863,0,30,0,0,30
34063914410000,B_low_recent,,0.035844,-0.015,-0.002,-0.013,0,0.016,0.835,0,30,0,0,30
34063625640000,B_low_recent,,0.0517707,-0.226,-0.234,0.008,0,0.001,0.946,0,30,0,0,30
34063634750000,B_low_recent,,0.0579962,-0.002,-0.001,-0.0,0,-0.006,0.462,25,30,0,0,30
34063671740000,B_low_recent,,0.0809126,0.007,0.011,-0.004,0,0.001,0.886,0,30,0,0,30
34063667930000,B_low_recent,,0.0997401,0.047,0.043,0.004,0,0.007,0.86,0,30,0,0,30
34063624800000,B_low_recent,,0.120477,0.003,0.005,-0.002,0,0.007,0.954,0,30,0,0,30
34063625660000,B_low_recent,,0.145718,0.317,0.258,0.059,0,0.015,0.901,0,0,0,0,0
34063666670000,B_low_recent,,0.158281,0.302,0.161,0.141,0,-0.022,1.142,0,0,0,0,0
34063629500000,C_random,0.02471,0.53355,0.054,0.247,-0.193,40,-0.012,0.504,25,30,30,0,60
34063605810000,C_random,-0.0654344,0.709191,0.447,0.423,0.024,0,-0.005,0.925,0,0,0,0,0
34063612310000,C_random,0.00526664,0.647113,0.326,0.266,0.06,0,-0.041,0.704,10,0,0,0,0
34063630530000,C_random,-0.0575376,0.67771,0.284,0.389,-0.104,40,0.012,1.086,0,5,30,0,35
34063647670000,C_random,0.230484,0.694886,0.249,0.26,-0.011,0,-0.015,1.093,0,5,0,0,5
34063636190000,C_random,0.10555,0.41296,0.004,0.098,-0.094,15,0.215,0.183,40,30,15,0,45
34063648090000,C_random,0.0269453,0.555739,0.077,0.084,-0.007,0,-0.003,1.02,0,30,0,0,30
34063612100000,C_random,0.00443097,0.501466,0.084,0.085,-0.001,0,-0.016,1.012,0,30,0,0,30
34063659730000,C_random,-0.00997071,0.541997,0.026,0.041,-0.014,0,-0.005,0.937,0,30,0,0,30
34063602450000,C_random,-0.114101,0.4863,0.042,0.039,0.003,0,0.001,0.98,0,30,0,0,30
