api_no,stratum,s2_ndvi_relative,s2_recent_ndvi,naip_ndvi_pad,naip_ndvi_bg,naip_delta,naip_score,vari_delta,edge_ratio,texture_score,abs_signal,delta_signal,edge_signal,combined_score
34073234040000,A_disturbed,-0.34776,0.456208,0.34,0.256,0.084,0,-0.009,0.956,0,0,0,0,0
34073612000000,A_disturbed,-0.271523,0.593054,0.362,0.356,0.006,0,-0.014,0.993,0,0,0,0,0
34073206790000,A_disturbed,-0.197483,0.594559,0.132,0.114,0.018,0,0.001,1.162,0,15,0,0,15
34073234350000,A_disturbed,-0.171219,0.684465,0.273,0.147,0.125,0,-0.007,0.963,0,5,0,0,5
34073235650000,A_disturbed,-0.164635,0.506425,0.119,0.134,-0.015,0,0.002,1.063,0,15,0,0,15
34073215610000,A_disturbed,-0.158527,0.630762,0.304,0.343,-0.039,0,0.01,1.177,0,0,0,0,0
34073218340000,A_disturbed,-0.156586,0.555037,0.183,0.237,-0.054,15,-0.015,0.985,0,15,15,0,30
34073611470000,A_disturbed,-0.151408,0.588588,0.082,0.12,-0.039,0,0.019,1.124,0,30,0,0,30
34073226810000,A_disturbed,-0.143912,0.548211,0.186,0.191,-0.005,0,-0.001,0.981,0,15,0,0,15
34073208650000,A_disturbed,-0.140524,0.54982,0.222,0.238,-0.016,0,0.007,1.258,10,5,0,10,15
34073614620000,B_low_recent,,0.143903,0.283,0.131,0.152,0,-0.329,2.041,100,5,0,20,25
34073614920000,B_low_recent,-0.0651958,0.248015,0.171,0.161,0.01,0,-0.034,0.852,0,15,0,0,15
34073233290000,B_low_recent,0.0464202,0.502633,0.164,0.102,0.062,0,-0.025,0.92,0,15,0,0,15
34073231530000,B_low_recent,0.0443817,0.509208,0.007,0.011,-0.005,0,0.002,1.095,0,30,0,0,30
34073215480000,B_low_recent,-0.101838,0.516623,0.293,0.178,0.115,0,-0.003,1.272,10,5,0,10,15
34073221990000,B_low_recent,-0.0439738,0.519801,0.211,0.19,0.022,0,0.007,1.052,0,5,0,0,5
34073234850000,B_low_recent,-0.0806992,0.539465,0.072,0.038,0.034,0,-0.004,1.109,0,30,0,0,30
34073605600000,B_low_recent,0.0147757,0.54832,-0.004,-0.004,0.0,0,-0.003,1.142,0,30,0,0,30
34073233490000,B_low_recent,-0.088316,0.557069,0.17,0.103,0.067,0,0.004,1.04,0,15,0,0,15
34073208300000,B_low_recent,-0.12062,0.562047,0.265,0.226,0.039,0,-0.024,1.527,25,5,0,20,25
34073228630000,C_random,-0.017992,0.764155,0.321,0.309,0.012,0,0.034,0.844,0,0,0,0,0
34073617830000,C_random,-0.0201888,0.788525,0.333,0.337,-0.004,0,-0.002,1.107,0,0,0,0,0
34073608600000,C_random,-0.0112032,0.8115,0.371,0.367,0.004,0,-0.016,1.105,0,0,0,0,0
34073236110000,C_random,0.00634485,0.83545,0.13,0.297,-0.167,40,0.002,1.065,0,15,30,0,45
34073234030000,C_random,-0.0268911,0.761351,0.324,0.381,-0.058,15,-0.058,0.992,10,0,15,0,15
34073607230000,C_random,-0.082203,0.636874,0.303,0.298,0.005,0,0.031,0.819,0,0,0,0,0
34073230590000,C_random,0.00458214,0.666284,0.137,0.191,-0.054,15,-0.01,1.005,0,15,15,0,30
34073212490000,C_random,-0.0344736,0.74153,0.207,0.287,-0.08,15,0.009,0.95,0,5,15,0,20
34073605770000,C_random,0.00883035,0.818167,0.363,0.341,0.022,0,-0.007,0.96,0,0,0,0,0
34073215480000,C_random,-0.101838,0.516623,0.293,0.178,0.115,0,-0.003,1.272,10,5,0,10,15
