api_no,stratum,lat,lng,s2_baseline_ndvi,s2_recent_ndvi,s2_ndvi_relative,naip_ndvi_pad,naip_ndvi_bg,naip_ndvi_delta,naip_score,fill_inner,fill_outer
34063669550000,A_disturbed,40.936558,-83.769753,0.535625,0.20382,-0.619473,0.084,0.076,0.008,0,1.0,1.0
34063669540000,A_disturbed,40.936481,-83.768572,0.524721,0.21468,-0.590867,0.143,0.074,0.069,0,1.0,1.0
34063628690000,A_disturbed,41.041999,-83.688163,0.327978,0.140917,-0.570345,0.073,0.089,-0.016,0,1.0,1.0
34063600650000,A_disturbed,41.085366,-83.673104,0.605761,0.26335,-0.565258,0.011,0.029,-0.018,0,1.0,1.0
34063667480000,A_disturbed,40.936119,-83.771283,0.487726,0.227166,-0.534234,0.036,0.054,-0.019,0,1.0,1.0
34063622560000,A_disturbed,40.990365,-83.749521,0.547527,0.25707,-0.530488,0.185,0.212,-0.027,0,1.0,1.0
34063669560000,A_disturbed,40.936615,-83.771318,0.475256,0.234764,-0.506026,0.095,0.076,0.019,0,1.0,1.0
34063611700000,A_disturbed,41.085338,-83.671729,0.55847,0.296521,-0.469047,0.02,0.033,-0.013,0,1.0,1.0
34063669260000,A_disturbed,40.942901,-83.781699,0.360794,0.199707,-0.446478,0.039,0.037,0.003,0,1.0,1.0
34063601920000,A_disturbed,41.088778,-83.659792,0.654633,0.371871,-0.43194,0.005,0.101,-0.096,15,1.0,1.0
34063916190000,B_low_recent,41.024979,-83.566927,-0.3105,-0.325322,,-0.005,-0.006,0.001,0,1.0,1.0
34063606760000,B_low_recent,41.140195,-83.664934,0.00444195,0.00931577,,-0.001,0.006,-0.007,0,1.0,1.0
34063914410000,B_low_recent,41.032296,-83.678701,0.0725087,0.035844,,-0.015,-0.002,-0.013,0,1.0,1.0
34063625640000,B_low_recent,41.033053,-83.677464,0.0993501,0.0517707,,-0.226,-0.234,0.008,0,1.0,1.0
34063634750000,B_low_recent,41.068575,-83.695689,0.0511468,0.0579962,,-0.002,-0.001,-0.0,0,1.0,1.0
34063671740000,B_low_recent,41.116771,-83.681434,0.128619,0.0809126,,0.007,0.011,-0.004,0,1.0,1.0
34063667930000,B_low_recent,40.921763,-83.810011,0.0574935,0.0997401,,0.047,0.043,0.004,0,1.0,1.0
34063624800000,B_low_recent,41.010443,-83.69655,0.085671,0.120477,,0.003,0.005,-0.002,0,1.0,1.0
34063625660000,B_low_recent,41.032883,-83.679534,0.157841,0.145718,,0.317,0.258,0.059,0,1.0,1.0
34063666670000,B_low_recent,40.936138,-83.789781,0.166383,0.158281,,0.302,0.161,0.141,0,1.0,1.0
34063629500000,C_random,41.054276,-83.673817,0.520684,0.53355,0.02471,0.054,0.247,-0.193,40,1.0,1.0
34063605810000,C_random,41.12679,-83.663698,0.758846,0.709191,-0.0654344,0.447,0.423,0.024,0,1.0,1.0
34063612310000,C_random,41.007103,-83.530203,0.643723,0.647113,0.00526664,0.326,0.266,0.06,0,1.0,1.0
34063630530000,C_random,41.065402,-83.700727,0.719085,0.67771,-0.0575376,0.284,0.389,-0.104,40,1.0,1.0
34063647670000,C_random,41.057523,-83.553807,0.564726,0.694886,0.230484,0.249,0.26,-0.011,0,1.0,1.0
34063636190000,C_random,41.077278,-83.681206,0.373533,0.41296,0.10555,0.004,0.098,-0.094,15,1.0,1.0
34063648090000,C_random,41.074489,-83.582607,0.541157,0.555739,0.0269453,0.077,0.084,-0.007,0,1.0,1.0
34063612100000,C_random,40.992806,-83.521977,0.499253,0.501466,0.00443097,0.084,0.085,-0.001,0,1.0,1.0
34063659730000,C_random,40.830344,-83.863589,0.547455,0.541997,-0.00997071,0.026,0.041,-0.014,0,1.0,1.0
34063602450000,C_random,41.108931,-83.651066,0.548934,0.4863,-0.114101,0.042,0.039,0.003,0,1.0,1.0
