api_no,lat,lng,slope_well_3dep,slope_bg_3dep,ratio_3dep,flat_3dep,score_3dep,slope_well_osip,slope_bg_osip,ratio_osip,flat_osip,score_osip,fill_inner,fill_outer
34073200030000,39.549573,-82.161872,16.524,14.252,1.159,False,0,18.023,15.443,1.167,False,0,1.0,1.0
34073200080000,39.562913,-82.354659,8.859,9.925,0.893,False,0,9.625,10.771,0.894,False,0,1.0,1.0
34073200180000,39.523179,-82.22663,17.333,16.577,1.046,False,0,18.897,18.137,1.042,False,0,1.0,1.0
34073200190000,39.520769,-82.201116,14.653,15.618,0.938,False,0,15.843,16.855,0.94,False,0,1.0,1.0
34073200210000,39.53481,-82.218845,14.974,15.05,0.995,False,0,16.393,16.761,0.978,False,0,1.0,1.0
34073200220000,39.558423,-82.35436,11.511,10.645,1.081,False,0,12.897,11.842,1.089,False,0,1.0,1.0
34073200340000,39.532724,-82.194938,15.184,14.984,1.013,False,0,16.613,16.252,1.022,False,0,1.0,1.0
34073200350000,39.530907,-82.205866,18.631,14.72,1.266,False,0,19.967,15.932,1.253,False,0,1.0,1.0
34073200370000,39.547897,-82.184006,13.458,16.446,0.818,False,0,14.992,17.991,0.833,False,0,1.0,1.0
34073200550000,39.527422,-82.198872,16.138,15.721,1.027,False,0,16.828,17.061,0.986,False,0,1.0,1.0
34073200560000,39.54273,-82.21838,18.825,15.911,1.183,False,0,20.204,17.228,1.173,False,0,1.0,1.0
34073200640000,39.487227,-82.243814,17.698,15.344,1.153,False,0,18.39,16.756,1.098,False,0,1.0,1.0
34073200650000,39.536363,-82.221799,13.4,15.296,0.876,False,0,16.123,17.084,0.944,False,0,1.0,1.0
34073200800000,39.481598,-82.244964,17.671,15.948,1.108,False,0,19.913,17.636,1.129,False,0,1.0,1.0
34073201100000,39.620501,-82.380337,8.514,10.372,0.821,False,0,9.096,11.354,0.801,False,0,1.0,1.0
34073201230000,39.418913,-82.288144,7.462,9.019,0.827,False,0,8.025,10.535,0.762,False,15,1.0,1.0
34073201260000,39.408606,-82.297816,7.635,9.165,0.833,False,0,8.321,10.97,0.758,False,15,1.0,1.0
34073201280000,39.441629,-82.446804,9.809,10.554,0.929,False,0,10.412,11.685,0.891,False,0,1.0,1.0
34073201630000,39.421592,-82.420642,9.219,9.128,1.01,False,0,10.276,10.175,1.01,False,0,1.0,1.0
34073201650000,39.544981,-82.563045,10.164,11.967,0.849,False,0,11.012,12.893,0.854,False,0,1.0,1.0
34073202310000,39.576306,-82.578088,18.308,15.681,1.167,False,0,19.676,16.425,1.198,False,0,1.0,1.0
34073202320000,39.637436,-82.491606,2.634,3.168,0.831,False,0,3.235,3.79,0.854,False,0,1.0,1.0
34073202420000,39.558104,-82.401636,11.42,12.65,0.903,False,0,12.538,13.911,0.901,False,0,1.0,1.0
34073202500000,39.646533,-82.478728,14.418,13.649,1.056,False,0,15.252,14.342,1.063,False,0,1.0,1.0
34073202890000,39.468665,-82.45417,11.569,12.091,0.957,False,0,12.349,12.997,0.95,False,0,1.0,1.0
34073203060000,39.493945,-82.587517,9.352,8.583,1.09,False,0,9.806,9.581,1.023,False,0,1.0,1.0
34073203250000,39.557389,-82.399739,11.317,12.466,0.908,False,0,12.76,13.546,0.942,False,0,1.0,1.0
34073203340000,39.443353,-82.536816,13.833,12.116,1.142,False,0,14.335,12.564,1.141,False,0,1.0,1.0
34073203470000,39.51863,-82.572067,9.047,7.763,1.165,False,0,9.942,8.532,1.165,False,0,1.0,1.0
34073203850000,39.465071,-82.454105,12.64,13.121,0.963,False,0,13.567,14.118,0.961,False,0,1.0,1.0
