api_no,lat,lng,slope_well_3dep,slope_bg_3dep,ratio_3dep,flat_3dep,score_3dep,slope_well_osip,slope_bg_osip,ratio_osip,flat_osip,score_osip,fill_inner,fill_outer
34073207040000,39.570824,-82.38033,0.968,4.984,0.194,True,100,1.377,6.298,0.219,True,100,1.0,1.0
34073212460000,39.506275,-82.373352,1.366,6.254,0.218,True,100,2.088,7.69,0.272,True,70,1.0,1.0
34073212480000,39.527158,-82.390366,0.745,4.316,0.173,True,100,0.97,5.303,0.183,True,100,1.0,1.0
34073214100000,39.464735,-82.312078,1.223,5.386,0.227,True,100,2.462,6.908,0.356,True,70,1.0,1.0
34073214490000,39.438921,-82.624372,1.602,7.388,0.217,True,100,3.425,9.157,0.374,True,70,1.0,1.0
34073215990000,39.455082,-82.286144,0.899,7.128,0.126,True,100,1.256,8.557,0.147,True,100,1.0,1.0
34073220590000,39.572444,-82.374828,1.208,5.268,0.229,True,100,2.282,6.503,0.351,True,70,1.0,1.0
34073224620000,39.512223,-82.427572,1.964,9.521,0.206,True,100,3.681,11.413,0.323,True,70,1.0,1.0
34073224920000,39.548831,-82.280005,0.752,8.674,0.087,True,100,2.007,10.738,0.187,True,100,1.0,1.0
34073225510000,39.455218,-82.285435,0.942,6.956,0.135,True,100,1.497,8.291,0.181,True,100,1.0,1.0
34073225980000,39.496503,-82.683624,0.509,2.319,0.22,True,100,1.006,3.248,0.31,True,70,1.0,1.0
34073226770000,39.58636,-82.328569,2.678,12.124,0.221,True,100,4.26,14.148,0.301,True,70,1.0,1.0
34073227830000,39.521196,-82.258823,1.241,6.899,0.18,True,100,2.974,8.408,0.354,True,70,1.0,1.0
34073229100000,39.549487,-82.440938,1.331,7.523,0.177,True,100,1.661,9.001,0.185,True,100,1.0,1.0
34073230550000,39.398369,-82.433351,1.597,8.221,0.194,True,100,2.01,9.474,0.212,True,100,1.0,1.0
34073235430000,39.598662,-82.542187,1.404,6.679,0.21,True,100,3.026,7.792,0.388,True,70,1.0,1.0
34073235510000,39.555349,-82.488353,0.953,5.59,0.17,True,100,1.814,6.922,0.262,True,70,1.0,1.0
34073602130000,39.576536,-82.318897,1.083,5.398,0.201,True,100,2.506,7.131,0.351,True,70,1.0,1.0
34073602540000,39.574134,-82.30875,0.972,8.516,0.114,True,100,1.82,10.201,0.178,True,100,1.0,1.0
34073602560000,39.575438,-82.317332,1.196,5.833,0.205,True,100,2.689,7.528,0.357,True,70,1.0,1.0
34073604210000,39.576662,-82.280226,1.338,7.437,0.18,True,100,1.868,9.23,0.202,True,100,1.0,1.0
34073604240000,39.568079,-82.271158,2.641,10.76,0.245,True,100,4.962,12.587,0.394,True,70,1.0,1.0
34073604250000,39.566169,-82.271384,2.501,10.334,0.242,True,100,4.665,12.163,0.383,True,70,1.0,1.0
34073604750000,39.580724,-82.27337,1.594,8.108,0.197,True,100,3.013,9.775,0.308,True,70,1.0,1.0
34073605200000,39.565099,-82.270487,2.047,11.368,0.18,True,100,3.661,13.208,0.277,True,70,1.0,1.0
34073605580000,39.597484,-82.543875,0.816,6.236,0.131,True,100,1.204,7.56,0.159,True,100,1.0,1.0
34073605600000,39.594807,-82.543164,0.625,7.856,0.08,True,100,0.84,9.226,0.091,True,100,1.0,1.0
34073606250000,39.59442,-82.524483,0.646,4.728,0.137,True,100,1.356,5.966,0.227,True,100,1.0,1.0
34073606590000,39.583634,-82.522464,0.722,4.498,0.16,True,100,1.336,5.891,0.227,True,100,1.0,1.0
34073607230000,39.487239,-82.335105,1.187,6.153,0.193,True,100,1.382,7.173,0.193,True,100,1.0,1.0
