api_no,stratum,lat,lng,s2_recent_ndvi,s2_ndvi_relative,vari_pad,vari_bg,vari_delta,edge_pad,edge_bg,edge_ratio,texture_score
34019214400000,A_disturbed,40.649764,-81.281143,0.275696,-0.540758,-0.004,0.006,-0.01,51.01,46.05,1.108,0
34019228450000,A_disturbed,40.518345,-81.183471,0.37795,-0.499223,-0.018,-0.013,-0.005,44.53,43.54,1.023,0
34019228460000,A_disturbed,40.5184,-81.183468,0.377903,-0.499218,-0.011,-0.01,-0.001,43.04,43.14,0.998,0
34019228440000,A_disturbed,40.51829,-81.183474,0.379149,-0.497646,-0.023,-0.014,-0.008,46.3,43.33,1.069,0
34019213070000,A_disturbed,40.489402,-81.251429,0.354314,-0.495572,-0.074,-0.071,-0.003,29.34,21.15,1.387,10
34019228470000,A_disturbed,40.518235,-81.183477,0.381279,-0.494742,-0.029,-0.015,-0.015,47.1,42.52,1.108,0
34019218400000,A_disturbed,40.686571,-81.222694,0.279493,-0.474702,-0.057,-0.066,0.008,36.58,22.93,1.595,25
34019213850000,A_disturbed,40.661914,-81.209938,0.445062,-0.433691,-0.115,-0.091,-0.023,58.28,55.11,1.057,0
34019208810000,A_disturbed,40.517999,-81.18233,0.428591,-0.431266,0.015,-0.001,0.016,47.67,42.12,1.132,0
34019213060000,A_disturbed,40.658596,-81.210218,0.458211,-0.393285,-0.073,-0.081,0.008,57.83,51.87,1.115,0
34019224280000,B_low_recent,40.469511,-81.005356,0.178397,,-0.021,-0.035,0.014,54.69,33.45,1.635,25
34019224450000,B_low_recent,40.469485,-81.005267,0.180885,,-0.019,-0.032,0.013,62.38,30.16,2.068,40
34019222570000,B_low_recent,40.469551,-81.005305,0.181351,,-0.017,-0.034,0.017,68.85,30.87,2.23,40
34019606280000,B_low_recent,40.468999,-81.005264,0.184835,,-0.039,-0.041,0.003,33.45,35.76,0.935,0
34019224460000,B_low_recent,40.469523,-81.005216,0.192927,,-0.016,-0.032,0.015,70.79,28.56,2.479,40
34019222560000,B_low_recent,40.469592,-81.005254,0.194891,,-0.016,-0.034,0.018,66.6,30.29,2.199,40
34019222550000,B_low_recent,40.469563,-81.005165,0.211283,,-0.018,-0.032,0.014,62.38,28.48,2.19,40
34019221590000,B_low_recent,40.459486,-81.00882,0.244634,,-0.031,-0.027,-0.004,54.2,31.16,1.739,25
34019221580000,B_low_recent,40.459418,-81.008857,0.245709,,-0.033,-0.026,-0.007,46.67,31.37,1.487,10
34019222630000,B_low_recent,40.459525,-81.008873,0.247462,,-0.033,-0.026,-0.007,58.64,31.92,1.837,25
34019224520000,C_random,40.608204,-81.061814,0.508928,0.0197814,-0.014,-0.016,0.003,36.19,35.99,1.006,0
34019226170000,C_random,40.71971,-81.03491,0.505973,-0.148142,-0.045,-0.034,-0.01,40.11,37.38,1.073,0
34019205940000,C_random,40.649285,-81.254408,0.709622,-0.0700525,-0.044,-0.032,-0.012,49.94,45.39,1.1,0
34019208600000,C_random,40.64654,-81.229447,0.661385,-0.119996,-0.049,-0.022,-0.027,28.82,35.53,0.811,0
34019226460000,C_random,40.534861,-80.988138,0.515161,-0.132892,-0.033,-0.033,-0.0,53.42,35.19,1.518,25
34019219270000,C_random,40.607958,-81.317702,0.72752,-0.0688561,-0.103,-0.106,0.003,56.52,54.68,1.034,0
34019204890000,C_random,40.643923,-81.268852,0.762609,-0.0576691,-0.084,-0.095,0.01,50.29,52.14,0.965,0
34019605510000,C_random,40.467168,-80.960458,0.645473,-0.163103,-0.065,-0.064,-0.001,44.87,44.98,0.998,0
34019225680000,C_random,40.495737,-81.059641,0.572456,-0.0564978,-0.02,-0.017,-0.003,51.38,39.59,1.298,10
34019210640000,C_random,40.546011,-81.219562,0.790789,-0.0150147,-0.066,-0.066,0.0,57.02,55.8,1.022,0
