api_no,stratum,lat,lng,s2_recent_ndvi,s2_ndvi_relative,vari_pad,vari_bg,vari_delta,edge_pad,edge_bg,edge_ratio,texture_score
34063669550000,A_disturbed,40.936558,-83.769753,0.20382,-0.619473,0.03,0.016,0.013,49.32,57.14,0.863,0
34063669540000,A_disturbed,40.936481,-83.768572,0.21468,-0.590867,0.017,0.007,0.009,50.48,53.24,0.948,0
34063628690000,A_disturbed,41.041999,-83.688163,0.140917,-0.570345,-0.064,-0.045,-0.019,33.38,41.27,0.809,0
34063600650000,A_disturbed,41.085366,-83.673104,0.26335,-0.565258,-0.015,0.022,-0.037,47.41,47.44,0.999,0
34063667480000,A_disturbed,40.936119,-83.771283,0.227166,-0.534234,-0.062,-0.051,-0.012,37.83,42.21,0.896,0
34063622560000,A_disturbed,40.990365,-83.749521,0.25707,-0.530488,-0.067,-0.064,-0.003,33.01,33.52,0.985,0
34063669560000,A_disturbed,40.936615,-83.771318,0.234764,-0.506026,-0.015,-0.015,0.001,66.78,53.55,1.247,10
34063611700000,A_disturbed,41.085338,-83.671729,0.296521,-0.469047,-0.038,0.007,-0.044,45.2,56.93,0.794,10
34063669260000,A_disturbed,40.942901,-83.781699,0.199707,-0.446478,0.17,0.09,0.08,15.72,27.88,0.564,25
34063601920000,A_disturbed,41.088778,-83.659792,0.371871,-0.43194,-0.001,-0.016,0.016,60.47,53.76,1.125,0
34063916190000,B_low_recent,41.024979,-83.566927,-0.325322,,0.458,0.455,0.004,8.84,9.48,0.933,0
34063606760000,B_low_recent,41.140195,-83.664934,0.00931577,,0.007,0.0,0.007,27.36,31.7,0.863,0
34063914410000,B_low_recent,41.032296,-83.678701,0.035844,,0.193,0.177,0.016,25.44,30.49,0.835,0
34063625640000,B_low_recent,41.033053,-83.677464,0.0517707,,0.317,0.316,0.001,3.61,3.81,0.946,0
34063634750000,B_low_recent,41.068575,-83.695689,0.0579962,,-0.002,0.004,-0.006,31.34,67.79,0.462,25
34063671740000,B_low_recent,41.116771,-83.681434,0.0809126,,-0.018,-0.019,0.001,28.54,32.22,0.886,0
34063667930000,B_low_recent,40.921763,-83.810011,0.0997401,,-0.056,-0.063,0.007,30.64,35.61,0.86,0
34063624800000,B_low_recent,41.010443,-83.69655,0.120477,,-0.007,-0.014,0.007,29.14,30.54,0.954,0
34063625660000,B_low_recent,41.032883,-83.679534,0.145718,,0.079,0.064,0.015,46.89,52.04,0.901,0
34063666670000,B_low_recent,40.936138,-83.789781,0.158281,,-0.03,-0.007,-0.022,55.68,48.78,1.142,0
34063629500000,C_random,41.054276,-83.673817,0.53355,0.02471,0.036,0.048,-0.012,22.31,44.26,0.504,25
34063605810000,C_random,41.12679,-83.663698,0.709191,-0.0654344,-0.121,-0.116,-0.005,59.79,64.64,0.925,0
34063612310000,C_random,41.007103,-83.530203,0.647113,0.00526664,-0.056,-0.015,-0.041,33.35,47.39,0.704,10
34063630530000,C_random,41.065402,-83.700727,0.67771,-0.0575376,0.025,0.013,0.012,67.42,62.07,1.086,0
34063647670000,C_random,41.057523,-83.553807,0.694886,0.230484,0.102,0.117,-0.015,33.39,30.56,1.093,0
34063636190000,C_random,41.077278,-83.681206,0.41296,0.10555,0.786,0.571,0.215,3.1,16.98,0.183,40
34063648090000,C_random,41.074489,-83.582607,0.555739,0.0269453,-0.086,-0.082,-0.003,61.59,60.39,1.02,0
34063612100000,C_random,40.992806,-83.521977,0.501466,0.00443097,-0.005,0.012,-0.016,36.66,36.23,1.012,0
34063659730000,C_random,40.830344,-83.863589,0.541997,-0.00997071,-0.111,-0.106,-0.005,39.16,41.79,0.937,0
34063602450000,C_random,41.108931,-83.651066,0.4863,-0.114101,-0.067,-0.068,0.001,28.55,29.12,0.98,0
