api_no,stratum,lat,lng,s2_recent_ndvi,s2_ndvi_relative,vari_pad,vari_bg,vari_delta,edge_pad,edge_bg,edge_ratio,texture_score
34073234040000,A_disturbed,39.526302,-82.694445,0.456208,-0.34776,-0.068,-0.058,-0.009,57.58,60.26,0.956,0
34073612000000,A_disturbed,39.542917,-82.52622,0.593054,-0.271523,-0.07,-0.055,-0.014,76.26,76.82,0.993,0
34073206790000,A_disturbed,39.59348,-82.412051,0.594559,-0.197483,-0.046,-0.047,0.001,76.48,65.79,1.162,0
34073234350000,A_disturbed,39.570723,-82.483561,0.684465,-0.171219,-0.105,-0.098,-0.007,71.82,74.57,0.963,0
34073235650000,A_disturbed,39.534988,-82.396701,0.506425,-0.164635,-0.02,-0.022,0.002,50.11,47.15,1.063,0
34073215610000,A_disturbed,39.422466,-82.499702,0.630762,-0.158527,-0.028,-0.037,0.01,79.89,67.9,1.177,0
34073218340000,A_disturbed,39.59577,-82.416211,0.555037,-0.156586,-0.063,-0.048,-0.015,66.28,67.27,0.985,0
34073611470000,A_disturbed,39.526405,-82.54584,0.588588,-0.151408,-0.038,-0.057,0.019,81.36,72.36,1.124,0
34073226810000,A_disturbed,39.581278,-82.308908,0.548211,-0.143912,-0.044,-0.043,-0.001,52.9,53.93,0.981,0
34073208650000,A_disturbed,39.414156,-82.466491,0.54982,-0.140524,-0.052,-0.059,0.007,84.4,67.08,1.258,10
34073614620000,B_low_recent,39.470749,-82.3231,0.143903,,-0.04,0.289,-0.329,56.89,27.88,2.041,100
34073614920000,B_low_recent,39.472373,-82.32425,0.248015,-0.0651958,-0.066,-0.033,-0.034,41.44,48.64,0.852,0
34073233290000,B_low_recent,39.535692,-82.418329,0.502633,0.0464202,-0.058,-0.033,-0.025,81.54,88.67,0.92,0
34073231530000,B_low_recent,39.552325,-82.466897,0.509208,0.0443817,-0.038,-0.04,0.002,48.0,43.84,1.095,0
34073215480000,B_low_recent,39.486731,-82.332994,0.516623,-0.101838,-0.039,-0.037,-0.003,62.92,49.46,1.272,10
34073221990000,B_low_recent,39.490752,-82.364167,0.519801,-0.0439738,-0.04,-0.047,0.007,61.91,58.85,1.052,0
34073234850000,B_low_recent,39.453929,-82.720675,0.539465,-0.0806992,-0.058,-0.054,-0.004,36.22,32.65,1.109,0
34073605600000,B_low_recent,39.594807,-82.543164,0.54832,0.0147757,-0.04,-0.037,-0.003,50.28,44.03,1.142,0
34073233490000,B_low_recent,39.52754,-82.723839,0.557069,-0.088316,-0.05,-0.054,0.004,80.83,77.72,1.04,0
34073208300000,B_low_recent,39.413958,-82.464353,0.562047,-0.12062,-0.033,-0.01,-0.024,63.91,41.85,1.527,25
34073228630000,C_random,39.459789,-82.370035,0.764155,-0.017992,-0.01,-0.044,0.034,62.51,74.09,0.844,0
34073617830000,C_random,39.426753,-82.375552,0.788525,-0.0201888,-0.097,-0.095,-0.002,87.88,79.38,1.107,0
34073608600000,C_random,39.54255,-82.294195,0.8115,-0.0112032,-0.129,-0.113,-0.016,114.9,104.02,1.105,0
34073236110000,C_random,39.499565,-82.292188,0.83545,0.00634485,-0.101,-0.103,0.002,116.0,108.94,1.065,0
34073234030000,C_random,39.517109,-82.702951,0.761351,-0.0268911,-0.205,-0.147,-0.058,66.29,66.84,0.992,10
34073607230000,C_random,39.487239,-82.335105,0.636874,-0.082203,0.038,0.007,0.031,31.04,37.89,0.819,0
34073230590000,C_random,39.484318,-82.380194,0.666284,0.00458214,-0.078,-0.068,-0.01,65.81,65.47,1.005,0
34073212490000,C_random,39.489212,-82.340252,0.74153,-0.0344736,-0.088,-0.097,0.009,67.83,71.42,0.95,0
34073605770000,C_random,39.568253,-82.570927,0.818167,0.00883035,-0.129,-0.122,-0.007,68.59,71.43,0.96,0
34073215480000,C_random,39.486731,-82.332994,0.516623,-0.101838,-0.039,-0.037,-0.003,62.92,49.46,1.272,10
